document_id,ID,topic_id,probability
722,2112,9,0.09419256
723,2114,0,0.17362751
723,2114,1,0.029210564
723,2114,2,0.028779138
723,2114,3,0.043599553
723,2114,4,0.031683132
723,2114,5,0.23233497
723,2114,6,0.031130074
723,2114,7,0.036754612
723,2114,8,0.3118248
723,2114,9,0.081055604
724,2092,0,0.13423723
724,2092,1,0.035981663
724,2092,2,0.035889126
724,2092,3,0.037594236
724,2092,4,0.033806514
724,2092,5,0.4713272
724,2092,6,0.026142769
724,2092,7,0.090966724
724,2092,8,0.098327175
724,2092,9,0.035727438
725,2094,0,0.13975602
725,2094,1,0.058866467
725,2094,2,0.010583371
725,2094,3,0.027411016
725,2094,4,0.023860548
725,2094,5,0.5356912
725,2094,6,0.011491811
725,2094,7,0.077231675
725,2094,8,0.06371863
725,2094,9,0.051389325
726,2096,0,0.1737037
726,2096,1,0.0882604
726,2096,2,0.02428909
726,2096,3,0.06853435
726,2096,4,0.020981679
726,2096,5,0.3297948
726,2096,6,0.0967188
726,2096,7,0.07995858
726,2096,8,0.06415855
726,2096,9,0.053600073
727,2097,0,0.051926956
727,2097,1,0.072582826
727,2097,2,0.21336725
727,2097,3,0.12741233
727,2097,4,0.027162941
727,2097,5,0.17657714
727,2097,6,0.026688782
727,2097,7,0.08060071
727,2097,8,0.20173365
727,2097,9,0.021947488
728,2081,0,0.11598754
728,2081,1,0.19563681
728,2081,2,0.028780347
728,2081,3,0.037686057
728,2081,4,0.14262499
728,2081,5,0.13339764
728,2081,6,0.031131389
728,2081,7,0.14768878
728,2081,8,0.1414655
728,2081,9,0.025600852
729,2084,0,0.06157305
729,2084,1,0.08470088
729,2084,2,0.1395829
729,2084,3,0.037690412
729,2084,4,0.08717294
729,2084,5,0.1376074
729,2084,6,0.031134961
729,2084,7,0.036760405
729,2084,8,0.3027409
729,2084,9,0.08103614
730,2062,0,0.05739374
730,2062,1,0.027679715
730,2062,2,0.027270902
730,2062,3,0.24372903
730,2062,4,0.08256932
730,2062,5,0.12640104
730,2062,6,0.029498614
730,2062,7,0.034828406
730,2062,8,0.2939144
730,2062,9,0.07671491
731,2065,0,0.19317764
731,2065,1,0.030933946
731,2065,2,0.030477071
731,2065,3,0.09865833
731,2065,4,0.20976926
731,2065,5,0.18822116
731,2065,6,0.032966677
731,2065,7,0.038923085
731,2065,8,0.14976262
731,2065,9,0.027110143
732,2066,0,0.054519948
732,2066,1,0.026293661
732,2066,2,0.025905324
732,2066,3,0.083854325
732,2066,4,0.028519334
732,2066,5,0.13030045
732,2066,6,0.0280215
732,2066,7,0.1828661
732,2066,8,0.36347046
732,2066,9,0.07624896
733,2069,0,0.443628
733,2069,1,0.038267497
733,2069,2,0.035454907
733,2069,3,0.015658263
733,2069,4,0.06729064
733,2069,5,0.20314336
733,2069,6,0.04907759
733,2069,7,0.08482697
733,2069,8,0.055662274
734,2071,0,0.06059089
734,2071,1,0.02920961
734,2071,2,0.028778208
734,2071,3,0.037683263
734,2071,4,0.031682104
734,2071,5,0.35526818
734,2071,6,0.031129071
734,2071,7,0.036753472
734,2071,8,0.36330628
734,2071,9,0.025598947
735,2073,0,0.10994388
735,2073,1,0.027679425
735,2073,2,0.07982106
735,2073,3,0.08826168
735,2073,4,0.082563035
735,2073,5,0.1789672
735,2073,6,0.029498307
735,2073,7,0.03536845
735,2073,8,0.23863399
735,2073,9,0.12926304
736,2040,0,0.04432672
736,2040,1,0.021043194
736,2040,2,0.020732401
736,2040,3,0.027147774
736,2040,4,0.02282444
736,2040,5,0.3370353
736,2040,6,0.022425992
736,2040,7,0.23728445
736,2040,8,0.20638302
736,2040,9,0.06079668
737,2048,0,0.6306755
737,2048,2,0.03491795
737,2048,3,0.038357634
737,2048,4,0.021814305
737,2048,5,0.16248128
737,2048,6,0.050760746
737,2048,7,0.023350263
737,2048,8,0.023805311
738,2051,0,0.14138627
738,2051,1,0.023912895
738,2051,2,0.023568995
738,2051,3,0.07626509
738,2051,4,0.17159283
738,2051,5,0.23484851
738,2051,6,0.025484253
738,2051,7,0.030088743
738,2051,8,0.20649645
738,2051,9,0.066356
739,2053,0,0.15867464
739,2053,1,0.020235624
739,2053,2,0.019936759
739,2053,3,0.02610593
739,2053,4,0.02194852
739,2053,5,0.19074784
739,2053,6,0.021565352
739,2053,7,0.026005182
739,2053,8,0.42019075
739,2053,9,0.09458942
740,2054,0,0.26947823
740,2054,1,0.0647598
740,2054,2,0.021603227
740,2054,3,0.04367073
740,2054,4,0.0221276
740,2054,5,0.26102594
740,2054,6,0.036047067
740,2054,7,0.1259477
740,2054,8,0.13479051
740,2054,9,0.020549174
